efsaprodcode2_recoded,Alpha-Tocopherol,Calcium,Copper,Magnesium,"Niacin Equivalents, Total",Phosphorus,Potassium,Riboflavin,Thiamin,Total Iron,Total Selenium,Vitamin B-12,"Vitamin B-6, Total",Vitamin E; Alpha-Tocopherol Equiv From E Vitamer Activities,"Vitamin K, Total",Zinc,foodLevel1,foodLevel2,foodLevel3,foodLevel4,level1,level2,level3
"Crabs, sea-spiders, PROCESS Baking",1.7582026856992121,4.709530201312334,0.30306317449008324,4.290459441148391,2.0475638027818133,5.493061443340548,5.605802066295998,0.23845431255130134,0.042101176018635396,1.028189824371564,0.0,0.0008995952428360929,0.13102826240640408,1.7582026856992121,0.0,1.2823217707369123,263,238,4,0,6,20,104
"Crabs, sea-spiders, PROCESS Cooking in water",0.7975071958841881,4.028916756899645,0.6261309257071586,3.927896354584436,1.9655526995142696,5.6429197292525,5.384495062789089,0.2951540872904819,0.09505040580624108,0.8371856797023642,0.03536714383729131,0.004310695587084546,0.20979774807797244,1.3789675857334298,0.0,1.727842976812722,263,238,5,0,6,20,104
"Crabs, sea-spiders, PROCESS Frying",1.791759469228055,4.762173934797756,0.3008450589780618,4.290459441148391,1.9235184587404122,5.480638923341991,5.529429087511423,0.2367646472661748,0.046883585898850416,1.018486244188825,0.0,0.0007996801705643322,0.10795714150509228,1.7847852054907187,0.0,1.3156036204971213,263,238,6,0,6,20,104
"Crabs, sea-spiders, PROCESS Steaming",0.7975071958841881,4.4274096405217,0.6261309257071586,4.038026131631877,1.9950112464154817,5.527158938976884,5.367310238034988,0.26126475913407415,0.08670180526772468,0.8758853172391162,0.03536714383729131,0.0026365213211297605,0.18255962369187698,1.7050389590234893,0.0,1.669887729057031,263,238,8,0,6,20,104
Crackers and breadsticks,1.5454325824581878,4.33292392166615,0.1736731558399136,3.443085474364408,1.6261639163496864,5.155408812110917,5.0367361287684504,0.11955923505763925,0.21645456316341313,1.1031574990871198,0.0036483367187596324,0.0,0.08617769624105234,0.8011043220650376,0.001998002662673056,0.6400100821468165,264,0,0,0,10,10,199
Cranberries,0.6418538861723948,2.6790626642289577,0.06739159011997763,2.114532861491106,0.348138612916446,2.4107986776342782,4.286537867495209,0.03232888711536001,0.036010437523033074,0.5941157999537665,9.999500033330834e-05,0.0,0.06498485008941263,0.5306282510621704,0.0,0.2645596550309267,265,0,0,0,8,33,7
Cream cake,0.4731237565819792,4.071952871907199,0.05513732519651065,2.4386133658171554,0.8919980393051105,4.573532080636225,4.875306368509585,0.10062072916726306,0.051507557145931936,0.5675839575845996,0.0076421527926353915,0.0004099159729666046,0.047156176877777,0.8940451229268352,0.004987541511039074,0.46346443812025007,267,0,0,0,10,26,18
Cream cheese cake,0.5458065926612362,4.054679305829669,0.04305948946044698,2.367123614131617,0.7774883289936961,4.299550412849643,4.666578814116735,0.11154137473290741,0.048155041887047105,0.36603103886275734,0.001998002662673056,0.000499875041651048,0.03149866705937099,0.6479405877218661,0.001998002662673056,0.3586064107884796,268,0,0,0,10,26,18
Cream chocolate,0.22314355131420976,4.924143262742812,0.4271334075872938,4.288500576663059,1.0161102100131416,5.220355825078324,6.119669278226779,0.20701416938432615,0.053676167375058155,1.4998143546569198,0.0034227072775022305,0.000499875041651048,0.05570497716001603,0.7196917357820576,0.002995508979798479,0.8426134361967734,269,0,0,0,18,19,26
Cream custard cake,0.7504722471792148,4.163337433709052,0.05191452995220022,2.494385393742544,0.9731570395631922,4.518678154634648,4.627770017905332,0.21810229407479248,0.06859279146561172,0.6279989497776953,0.004708895727734253,0.0006198078794057441,0.035091319811270096,0.6416433376928298,0.004987541511039074,0.5440669575457926,270,0,0,0,10,26,18
Cream liqueur,0.0,2.9813435361018916,0.0246926125903715,1.126783165634806,0.5872309549683962,3.542200789125379,3.043160967125102,0.03894595013465478,0.008298802814695094,0.09531017980432487,0.0,6.999755011432734e-05,0.01153323581367303,0.3920420877760237,0.0,0.16551443847757338,271,0,0,0,1,66,100
Cream powder,0.832909122935104,6.025658913052238,0.16126814759612226,4.454347296253507,1.864080130807681,6.154615419744767,6.5245058508019955,0.41314979086671205,0.22314355131420976,0.6418538861723948,0.0,0.002995508979798479,0.262364264467491,0.832909122935104,0.0,1.3862943611198906,272,0,0,0,14,42,113
Cream sauce,0.4252677354043441,3.5662408994811554,0.020782539182528502,1.8588987720656835,0.3126185577418125,3.638024660062287,4.078102256120678,0.08831608104856785,0.04513269010733967,0.2313762362406861,0.0009795201135002552,6.999755011432734e-05,0.02012937129516576,0.335328725919134,0.0,0.16041672140590474,273,0,0,0,16,56,164
